n,crit
1,0.975
2,0.84189
3,0.7076
4,0.62394
5,0.56328
6,0.51926
7,0.48342
8,0.45427
9,0.43001
10,0.40925
11,0.39122
12,0.37543
13,0.36143
14,0.3489
15,0.3376
16,0.32733
17,0.31796
18,0.30936
19,0.30143
20,0.29408
21,0.28724
22,0.28087
23,0.2749
24,0.26931
25,0.26404
26,0.25907
27,0.25438
28,0.24993
29,0.24571
30,0.2417
31,0.23788
32,0.23424
33,0.23076
34,0.22743
35,0.22425
36,0.22119
37,0.21826
38,0.21544
39,0.21273
40,0.21012
41,0.212396
42,0.209853
43,0.207398
44,0.205028
45,0.202737
46,0.200521
47,0.198376
48,0.196299
49,0.194286
50,0.192333
51,0.190438
52,0.188598
53,0.18681
54,0.185073
55,0.183382
56,0.181738
57,0.180136
58,0.178577
59,0.177057
60,0.175575
61,0.17413
62,0.17272
63,0.171344
64,0.17
65,0.168687
66,0.167404
67,0.16615
68,0.164924
69,0.163725
70,0.162551
71,0.161402
72,0.160278
73,0.159176
74,0.158097
75,0.157039
76,0.156003
77,0.154986
78,0.15399
79,0.153012
80,0.152053
81,0.151111
82,0.150187
83,0.149279
84,0.148388
85,0.147513
86,0.146653
87,0.145807
88,0.144976
89,0.14416
90,0.143357
91,0.142567
92,0.14179
93,0.141025
94,0.140273
95,0.139533
96,0.138804
97,0.138087
98,0.137381
99,0.136685
100,0.136
101,0.135325
102,0.13466
103,0.134005
104,0.133359
105,0.132722
106,0.132095
107,0.131476
108,0.130866
109,0.130264
110,0.129671
111,0.129085
112,0.128508
113,0.127938
114,0.127376
115,0.126821
116,0.126273
117,0.125732
118,0.125198
119,0.124671
120,0.12415
121,0.123636
122,0.123129
123,0.122627
124,0.122132
125,0.121642
126,0.121158
127,0.12068
128,0.120208
129,0.119741
130,0.11928
131,0.118824
132,0.118373
133,0.117927
134,0.117486
135,0.11705
136,0.116619
137,0.116193
138,0.115771
139,0.115354
140,0.114941
141,0.114533
142,0.114129
143,0.113729
144,0.113333
145,0.112942
146,0.112554
147,0.112171
148,0.111791
149,0.111416
150,0.111044
151,0.110675
152,0.110311
153,0.109949
154,0.109592
155,0.109238
156,0.108887
157,0.10854
158,0.108196
159,0.107855
160,0.107517
161,0.107183
162,0.106852
163,0.106523
164,0.106198
165,0.105876
166,0.105556
167,0.10524
168,0.104926
169,0.104615
170,0.104307
171,0.104002
172,0.103699
173,0.103399
174,0.103101
175,0.102806
176,0.102514
177,0.102224
178,0.101936
179,0.101651
180,0.101368
181,0.101088
182,0.10081
183,0.100534
184,0.100261
185,0.099989
186,0.09972
187,0.099453
188,0.099188
189,0.098925
190,0.098665
191,0.098406
192,0.09815
193,0.097895
194,0.097642
195,0.097392
196,0.097143
197,0.096896
198,0.096651
199,0.096408
200,0.096167
201,0.095927
202,0.095689
203,0.095453
204,0.095219
205,0.094987
206,0.094756
207,0.094527
208,0.094299
209,0.094073
210,0.093849
211,0.093626
212,0.093405
213,0.093186
214,0.092968
215,0.092751
216,0.092536
217,0.092323
218,0.092111
219,0.0919
220,0.091691
221,0.091483
222,0.091277
223,0.091072
224,0.090869
225,0.090667
226,0.090466
227,0.090266
228,0.090068
229,0.089871
230,0.089676
231,0.089481
232,0.089288
233,0.089097
234,0.088906
235,0.088717
236,0.088528
237,0.088341
238,0.088156
239,0.087971
240,0.087788
241,0.087605
242,0.087424
243,0.087244
244,0.087065
245,0.086887
246,0.08671
247,0.086535
248,0.08636
249,0.086186
250,0.086014
251,0.085842
252,0.085672
253,0.085502
254,0.085334
255,0.085167
256,0.085
257,0.084834
258,0.08467
259,0.084506
260,0.084344
261,0.084182
262,0.084021
263,0.083861
264,0.083702
265,0.083544
266,0.083387
267,0.083231
268,0.083075
269,0.082921
270,0.082767
271,0.082614
272,0.082462
273,0.082311
274,0.082161
275,0.082011
276,0.081862
277,0.081714
278,0.081567
279,0.081421
280,0.081276
281,0.081131
282,0.080987
283,0.080844
284,0.080701
285,0.080559
286,0.080418
287,0.080278
288,0.080139
289,0.08
290,0.079862
291,0.079725
292,0.079588
293,0.079452
294,0.079317
295,0.079182
296,0.079048
297,0.078915
298,0.078783
299,0.078651
300,0.07852
301,0.078389
302,0.078259
303,0.07813
304,0.078001
305,0.077873
306,0.077746
307,0.077619
308,0.077493
309,0.077368
310,0.077243
311,0.077119
312,0.076995
313,0.076872
314,0.076749
315,0.076627
316,0.076506
317,0.076385
318,0.076265
319,0.076145
320,0.076026
321,0.075908
322,0.07579
323,0.075672
324,0.075556
325,0.075439
326,0.075323
327,0.075208
328,0.075093
329,0.074979
330,0.074866
331,0.074752
332,0.07464
333,0.074528
334,0.074416
335,0.074305
336,0.074194
337,0.074084
338,0.073974
339,0.073865
340,0.073756
341,0.073648
342,0.07354
343,0.073433
344,0.073326
345,0.07322
346,0.073114
347,0.073009
348,0.072904
349,0.072799
350,0.072695
351,0.072591
352,0.072488
353,0.072385
354,0.072283
355,0.072181
356,0.07208
357,0.071979
358,0.071878
359,0.071778
360,0.071678
361,0.071579
362,0.07148
363,0.071381
364,0.071283
365,0.071186
366,0.071088
367,0.070991
368,0.070895
369,0.070799
370,0.070703
371,0.070608
372,0.070513
373,0.070418
374,0.070324
375,0.07023
376,0.070137
377,0.070044
378,0.069951
379,0.069859
380,0.069767
381,0.069675
382,0.069584
383,0.069493
384,0.069402
385,0.069312
386,0.069222
387,0.069133
388,0.069044
389,0.068955
390,0.068866
391,0.068778
392,0.06869
393,0.068603
394,0.068516
395,0.068429
396,0.068343
397,0.068256
398,0.068171
399,0.068085
400,0.068
401,0.067915
402,0.067831
403,0.067746
404,0.067663
405,0.067579
406,0.067496
407,0.067413
408,0.06733
409,0.067248
410,0.067166
411,0.067084
412,0.067002
413,0.066921
414,0.06684
415,0.06676
416,0.066679
417,0.066599
418,0.06652
419,0.06644
420,0.066361
421,0.066282
422,0.066204
423,0.066125
424,0.066047
425,0.06597
426,0.065892
427,0.065815
428,0.065738
429,0.065661
430,0.065585
431,0.065509
432,0.065433
433,0.065357
434,0.065282
435,0.065207
436,0.065132
437,0.065058
438,0.064983
439,0.064909
440,0.064835
441,0.064762
442,0.064689
443,0.064616
444,0.064543
445,0.06447
446,0.064398
447,0.064326
448,0.064254
449,0.064182
450,0.064111
451,0.06404
452,0.063969
453,0.063898
454,0.063828
455,0.063758
456,0.063688
457,0.063618
458,0.063549
459,0.063479
460,0.06341
461,0.063342
462,0.063273
463,0.063205
464,0.063136
465,0.063068
466,0.063001
467,0.062933
468,0.062866
469,0.062799
470,0.062732
471,0.062665
472,0.062599
473,0.062533
474,0.062467
475,0.062401
476,0.062335
477,0.06227
478,0.062205
479,0.06214
480,0.062075
481,0.062011
482,0.061946
483,0.061882
484,0.061818
485,0.061754
486,0.061691
487,0.061627
488,0.061564
489,0.061501
490,0.061439
491,0.061376
492,0.061314
493,0.061251
494,0.061189
495,0.061127
496,0.061066
497,0.061004
498,0.060943
499,0.060882
500,0.060821
501,0.06076
502,0.0607
503,0.060639
504,0.060579
505,0.060519
506,0.060459
507,0.0604
508,0.06034
509,0.060281
510,0.060222
511,0.060163
512,0.060104
513,0.060045
514,0.059987
515,0.059929
516,0.059871
517,0.059813
518,0.059755
519,0.059697
520,0.05964
521,0.059583
522,0.059526
523,0.059469
524,0.059412
525,0.059355
526,0.059299
527,0.059243
528,0.059186
529,0.05913
530,0.059075
531,0.059019
532,0.058963
533,0.058908
534,0.058853
535,0.058798
536,0.058743
537,0.058688
538,0.058634
539,0.058579
540,0.058525
541,0.058471
542,0.058417
543,0.058363
544,0.05831
545,0.058256
546,0.058203
547,0.058149
548,0.058096
549,0.058043
550,0.057991
551,0.057938
552,0.057885
553,0.057833
554,0.057781
555,0.057729
556,0.057677
557,0.057625
558,0.057573
559,0.057522
560,0.05747
561,0.057419
562,0.057368
563,0.057317
564,0.057266
565,0.057216
566,0.057165
567,0.057115
568,0.057064
569,0.057014
570,0.056964
571,0.056914
572,0.056864
573,0.056815
574,0.056765
575,0.056716
576,0.056667
577,0.056618
578,0.056569
579,0.05652
580,0.056471
581,0.056422
582,0.056374
583,0.056325
584,0.056277
585,0.056229
586,0.056181
587,0.056133
588,0.056085
589,0.056038
590,0.05599
591,0.055943
592,0.055896
593,0.055849
594,0.055801
595,0.055755
596,0.055708
597,0.055661
598,0.055615
599,0.055568
600,0.055522
601,0.055476
602,0.055429
603,0.055383
604,0.055338
605,0.055292
606,0.055246
607,0.055201
608,0.055155
609,0.05511
610,0.055065
611,0.05502
612,0.054975
613,0.05493
614,0.054885
615,0.05484
616,0.054796
617,0.054752
618,0.054707
619,0.054663
620,0.054619
621,0.054575
622,0.054531
623,0.054487
624,0.054444
625,0.0544
626,0.054357
627,0.054313
628,0.05427
629,0.054227
630,0.054184
631,0.054141
632,0.054098
633,0.054055
634,0.054013
635,0.05397
636,0.053928
637,0.053885
638,0.053843
639,0.053801
640,0.053759
641,0.053717
642,0.053675
643,0.053633
644,0.053592
645,0.05355
646,0.053508
647,0.053467
648,0.053426
649,0.053385
650,0.053344
651,0.053303
652,0.053262
653,0.053221
654,0.05318
655,0.05314
656,0.053099
657,0.053059
658,0.053018
659,0.052978
660,0.052938
661,0.052898
662,0.052858
663,0.052818
664,0.052778
665,0.052739
666,0.052699
667,0.052659
668,0.05262
669,0.052581
670,0.052541
671,0.052502
672,0.052463
673,0.052424
674,0.052385
675,0.052346
676,0.052308
677,0.052269
678,0.05223
679,0.052192
680,0.052154
681,0.052115
682,0.052077
683,0.052039
684,0.052001
685,0.051963
686,0.051925
687,0.051887
688,0.05185
689,0.051812
690,0.051774
691,0.051737
692,0.051699
693,0.051662
694,0.051625
695,0.051588
696,0.051551
697,0.051514
698,0.051477
699,0.05144
700,0.051403
701,0.051366
702,0.05133
703,0.051293
704,0.051257
705,0.051221
706,0.051184
707,0.051148
708,0.051112
709,0.051076
710,0.05104
711,0.051004
712,0.050968
713,0.050932
714,0.050897
715,0.050861
716,0.050826
717,0.05079
718,0.050755
719,0.050719
720,0.050684
721,0.050649
722,0.050614
723,0.050579
724,0.050544
725,0.050509
726,0.050474
727,0.05044
728,0.050405
729,0.05037
730,0.050336
731,0.050301
732,0.050267
733,0.050233
734,0.050199
735,0.050164
736,0.05013
737,0.050096
738,0.050062
739,0.050028
740,0.049995
741,0.049961
742,0.049927
743,0.049894
744,0.04986
